Month,Total Cash Flow,Remaining Balance,Remaining Mortgages,Pool Factor
1,3386723.0501265014,298228795.9295211,995.0,0.9940959864317369
2,3368441.985494514,296466334.87769854,990.0295200678413,0.9882211162589951
3,3350260.335719484,294712564.511384,985.0884144865463,0.9823752150379467
4,3332177.564480448,292967432.75193274,980.1765384113565,0.9765581091731091
5,3314193.138374826,291230887.77365583,975.293747865491,0.9707696259121861
6,3296306.526902681,289502878.0022797,970.4398997359301,0.9650095933409323
7,3278517.2024510796,287783352.1134129,965.6148517692254,0.9592778403780431
8,3260824.6402785205,286072259.03102046,960.8184625673352,0.9535741967700682
9,3243228.318499463,284369547.9259053,956.0505915834849,0.947898493086351
10,3225727.7180689313,282675168.21419674,951.3110991180531,0.9422505607139892
11,3208322.3227672046,280989069.5558466,946.5998463144832,0.9366302318528219
12,3191011.619184589,279311201.85313195,941.9166951552191,0.9310373395104399
13,3173795.096706278,277641515.2491654,937.261508457667,0.925471717497218
14,3156672.2474972885,275979960.126412,932.6341498701809,0.9199332004213733
15,3139642.5664874827,274326487.10521317,928.034483868074,0.9144216236840439
16,3122705.551356671,272681047.0423182,923.4623757496537,0.9089368234743941
17,3105860.702519795,271043591.0294219,918.9176916322817,0.9034786367647397
18,3089107.5231121927,269414070.3917093,914.400298448458,0.8980469013056978
19,3072445.518974946,267792436.68640745,909.9100639419295,0.8926414556213581
20,3055874.198640299,266178641.70134372,905.4468566638227,0.887262139004479
21,3039393.07331717,264572637.453511,901.0105459688003,0.8819087915117033
22,3023001.6568767284,262974376.1876395,896.6010020112418,0.8765812539587984
23,3006699.46583806,261383810.37477517,892.2180957414478,0.8712793679159172
24,2990486.019353906,259800892.7108648,887.8616989018682,0.8660029757028828
25,2974360.8391964817,258225576.11534765,883.5316840233538,0.8607519203844922
26,2958323.4497433677,256657813.72975355,879.2279244214313,0.8555260457658452
27,2942373.3779634875,255097558.91630766,874.9502941926021,0.8503251963876922
28,2926510.1534031527,253544765.2565414,870.6986682106636,0.8451492175218047
29,2910733.308172187,251999386.54991,866.4729221230547,0.8399979551663667
30,2895042.376930128,250461376.81241632,862.2729323472229,0.8348712560413877
31,2879436.896872502,248930690.2752409,858.098576067016,0.8297689675841363
32,2863916.4077171744,247407281.3833785,853.9497312290953,0.824690937944595
33,2848480.4516907744,245891104.79428062,849.8262765393723,0.8196370159809354
34,2833128.5735151935,244382115.37650436,845.7280914594677,0.8146070512550145
35,2817860.3203941598,242880268.20836744,841.6550562031927,0.8096008940278915
36,2802675.24199988,241385518.57660928,837.6070517330533,0.8046183952553643
37,2787572.890459762,239897821.97505817,833.5839597567764,0.7996594065835272
38,2772552.8203432043,238417134.1033044,829.5856627238587,0.794723780344348
39,2757614.588648459,236943410.8653795,825.612043822137,0.7898113695512651
40,2742757.7547895666,235476608.3684415,821.6629869743807,0.7849220278948049
41,2727981.880583363,234016682.92146567,817.7383768349067,0.7800556097382189
42,2713286.530236556,232563591.03394178,813.8380987862156,0.7752119701131392
43,2698671.2703328743,231117289.41457668,809.9620389356498,0.7703909647152556
44,2684135.6698202826,229677734.97000292,806.1100841120735,0.7655924499000097
45,2669679.299998272,228244884.80349302,802.2821218625735,0.76081628267831
46,2655301.7345052166,226818696.21367955,798.4780404491819,0.7560623207122652
47,2641002.5493057976,225399126.69328085,794.6977288456205,0.7513304223109362
48,2626781.322678501,223986133.9278323,790.9410767340659,0.7466204464261077
49,2612637.635203178,222579675.79442346,787.2079745019353,0.7419322526480782
50,2598571.0697486796,221179710.36044046,783.4983132386949,0.7372657012014682
51,2584581.2114605512,219786195.8823141,779.8119847326875,0.732620652941047
52,2570667.6477488005,218399090.80427337,776.1488814679823,0.7279969693475778
53,2556829.9682757314,217018353.75710458,772.5088966212444,0.7233945125236819
54,2543067.7649438395,215643943.55691567,768.8919240586259,0.718813145189719
55,2529380.631883783,214275819.20390606,765.2978583326774,0.7142527306796869
56,2515768.165442407,212913939.8811418,761.726594679279,0.7097131329371393
57,2502229.964170847,211558264.9533361,758.1780290145932,0.7051942165111204
58,2488765.6288126856,210208753.96563485,754.6520579320376,0.7006958465521161
59,2475374.7622921807,208865366.64240786,751.148578699277,0.6962178888080263
60,2462056.969702556,207528062.88604486,747.6674892552369,0.6917602096201495
61,2448811.858294355,206196802.77575687,744.2086882071361,0.6873226759191896
62,2435639.0374638634,204871546.56638265,740.7720748275401,0.6829051552212755
63,2422538.118741584,203552254.68720022,737.3575490514337,0.6785075156240007
64,2409508.715780788,202238887.74074355,733.9650114733137,0.6741296258024785
65,2396550.4443461196,200931406.50162408,730.5943633443013,0.6697713550054136
66,2383662.9223022647,199629771.91535735,727.2455065692742,0.6654325730511912
67,2370845.7696026866,198333945.0971946,723.9183437040183,0.661113150323982
68,2358098.6082784156,197043887.3309592,720.6127779523983,0.656812957769864
69,2345421.062426906,195759560.067888,717.3287131635491,0.6525318668929599
70,2332812.758200952,194480924.9254775,714.0660538290842,0.6482697497515917
71,2320273.3237976627,193207943.68633494,710.8247050803262,0.6440264789544498
72,2307802.389447502,191940578.29703397,707.604572685554,0.6398019276567799
73,2295399.587403382,190678790.86697525,704.4055630472701,0.6355959695565842
74,2283064.5519298227,189422543.66725162,701.2275831994872,0.6314084788908387
75,2270796.919292166,188171799.12951803,698.070540805033,0.6272393304317267
76,2258596.3277458525,186926519.8448661,694.9343441528744,0.623088399482887
77,2246462.417525755,185686668.5627032,691.8189021554599,0.6189555618756774
78,2234394.830835569,184452208.18963623,688.7241243460816,0.6148406939654542
79,2222393.2118372675,183223101.78835985,685.6499208762543,0.6107436726278662
80,2210457.206640605,181999312.57654926,682.596202513115,0.6066643752551643
81,2198586.463292685,180780803.92575735,679.5628806368392,0.6026026797525245
82,2186780.631767584,179567539.3603165,676.5498672380766,0.5985584645343883
83,2175039.3639560314,178359482.5562445,673.5570749154047,0.594531608520815
84,2163362.3136551436,177156597.34015515,670.5844168728006,0.5905219911338505
85,2151749.1365582207,175958847.68817297,667.6318069171314,0.5865294922939099
86,2140199.4902445916,174766197.72485226,664.6991594556619,0.5825539924161742
87,2128713.0341695216,173578611.72210056,661.7863894935809,0.5785953724070019
88,2117289.429654171,172396054.09810618,658.893412631546,0.5746535136603539
89,2105928.3398756105,171218489.41627005,656.0201450632442,0.5707282980542335
90,2094629.42985689,170045882.38414174,653.166503572973,0.5668196079471391
91,2083392.3664571652,168878197.8523596,650.3324055332373,0.562927326174532
92,2072216.8183618751,167715400.81359497,647.5177689023647,0.5590513360453165
93,2061102.4560729729,166557456.40150055,644.7225122221381,0.5551915213383352
94,2050048.951899215,165404329.88966286,641.9465546154464,0.5513477662988762
95,2039055.9799464997,164255986.69055852,639.189815783952,0.5475199556351951
96,2028123.2161082588,163112392.35451475,636.452216005776,0.5437079745150492
97,2017250.3380559036,161973512.56867367,633.7336761332008,0.5399117085622456
98,2006437.0252293234,160839313.15596062,631.0341175903895,0.5361310438532021
99,1995682.9588274355,159709760.07405633,628.3534623711236,0.5323658669135211
100,1984987.8217987865,158584819.4143729,625.6916330365559,0.5286160647145763
101,1974351.298832208,157464457.4010337,623.048552712983,0.5248815246701123
102,1963773.0763475187,156348640.3898571,620.4241450896325,0.5211621346328571
103,1953252.8424862842,155237334.86734387,617.8183344164681,0.5174577828911462
104,1942790.2871026222,154130507.44966826,615.2310455020124,0.5137683581655609
105,1932385.10175406,153028124.88167304,612.6622037111846,0.5100937496055767
106,1922036.9796924442,151930154.03586802,610.1117349631567,0.5064338467862267
107,1911745.6158548975,150836561.9114322,607.5795657292256,0.502788539704774
108,1901510.7068548268,149747315.63321975,605.0656230307017,0.4991577187773992
109,1891331.950972981,148662382.45076925,602.5698344368146,0.4955412748358975
110,1881209.048148558,147581729.73731685,600.0921280626352,0.4919390991243895
111,1871141.699970359,146505324.98881269,597.6324325670132,0.48835108329604227
112,1861129.6096679945,145433135.82294092,595.190677150533,0.48477711940980306
113,1851172.4821031364,144365129.97814322,592.766791553484,0.48121709992714407
114,1841270.0237608184,143301275.31264567,590.3607060538483,0.4776709177088189
115,1831421.9427407864,142241539.80348918,587.9723514653042,0.4741384660116306
116,1821627.9487488945,141185891.54556307,585.601659135246,0.4706196384852102
117,1811887.7530885492,140134298.75064227,583.24856094282,0.4671143291688076
118,1802201.0686522003,139086729.74642763,580.9129892969759,0.4636224324880921
119,1792567.609912881,138043152.97558966,578.5948771345354,0.46014384325196556
120,1782987.0929157902,137003536.9948154,576.2941579182756,0.4566784566493847
121,1773459.235269926,135967850.47385874,574.0107656350286,0.4532261682461958
122,1763983.7561397627,134936062.19459367,571.7446347937977,0.4497868739819789
123,1754560.3762369743,133908141.05007094,569.4957004238878,0.4463604701669031
124,1745188.817812204,132884056.0435778,567.2638980730533,0.4429468534785927
125,1735868.8046468785,131863776.28770079,565.0491638056603,0.43954592095900263
126,1726600.0620450694,130847271.00339167,562.8514342008654,0.43615757001130556
127,1717382.3168253954,129834509.51903652,560.6706463508089,0.4327816983967884
128,1708215.2973129759,128825461.26952767,558.5067378588249,0.4294182042317589
129,1699098.7333314219,127820095.79533885,556.3596468376661,0.42606698598446285
130,1690032.3561948757,126818382.74160314,554.2293119077437,0.42272794247201045
131,1681015.898700094,125820291.85719396,552.1156721953837,0.4194009728573132
132,1672049.095118574,124825792.99380904,550.0186673310972,0.41608597664603014
133,1663131.6811887226,123834856.1050572,547.938237447867,0.41278285368352396
134,1654263.39410807,122847451.24554797,545.8743231794493,0.40949150415182656
135,1645443.972525528,121863548.56998415,543.8268656586902,0.40621182856661386
136,1636673.1565336853,120883118.3322572,541.7958065158571,0.40294372777419063
137,1627950.6876611537,119906130.8845452,539.7810878769861,0.39968710294848403
138,1619276.3088649497,118932556.6764139,537.7826523622438,0.3964418555880463
139,1610649.7645229218,117962366.25392018,535.8004430843035,0.3932078875130673
140,1602070.80042622,116995530.25871846,533.8344036467382,0.38998510086239485
141,1593539.1637718044,116032019.42716964,531.8844781424262,0.38677339809056543
142,1585054.6031549987,115071804.58945274,529.9506111519734,0.38357268196484245
143,1576616.8685620832,114114856.6686792,528.0327477421491,0.380382855562264
144,1568225.7113629277,113161146.68000966,526.1308334643378,0.37720382226669885
145,1559880.8843036685,112210645.72977346,524.2448143530044,0.37403548576591156
146,1551582.141499423,111263325.01459058,522.3746369241748,0.37087775004863527
147,1543329.2384270472,110319155.8204961,520.5202481739316,0.36773051940165363
148,1535121.931917931,109378109.5220672,518.6815955769233,0.36459369840689065
149,1526959.980150836,108440157.58155261,516.8586270848889,0.3614671919385087
150,1518843.1426447714,107505271.54800442,515.0512911251964,0.3583509051600147
151,1510771.1802519092,106573423.05641241,513.2595365993963,0.3552447435213747
152,1502743.8551505418,105644583.8268407,511.4833128817894,0.3521486127561357
153,1494760.930838075,104718725.66356674,509.7225698180087,0.34906241887855577
154,1486822.1721240615,103795820.45422268,507.97725772361593,0.3459860681807423
155,1478927.3451232747,102875840.16893904,506.24732738271223,0.34291946722979677
156,1471076.2172488184,101958756.8594906,504.53273004656324,0.33986252286496865
157,1463268.5572052773,101044542.6584446,502.8334174322384,0.33681514219481534
158,1455504.1349819037,100133169.77831113,501.1493417212643,0.3337772325943704
159,1447782.7218458434,99224610.51069576,499.4804555582925,0.3307487017023192
160,1440104.0903353987,98318837.22545426,497.8267120497809,0.3277294574181809
161,1432468.01425333,97415822.3698496,496.18806476269,0.3247194078994987
162,1424874.2686601942,96515538.46771099,494.5644677231925,0.3217184615590366
163,1417322.6298677188,95617958.11859491,492.9558754153973,0.31872652706198307
164,1409812.8754322159,94723053.9969485,491.3622427800874,0.31574351332316164
165,1402344.7841480304,93830798.85127465,489.7835252134716,0.31276932950424885
166,1394918.1360410266,92941165.5032994,488.21967856595035,0.309803885010998
167,1387532.7123621101,92054126.84714112,486.67065914089534,0.3068470894904704
168,1380188.2955807867,91169655.84848182,485.13642369344296,0.3038988528282727
169,1372884.6693787558,90287725.54374027,483.6169294293016,0.3009590851458009
170,1365621.6186435428,89408309.03924716,482.1121340035726,0.2980276967974905
171,1358398.9294621628,88531379.510422,480.62199551958514,0.29510459836807335
172,1351216.3891148241,87656910.20095208,479.1464725277448,0.2921897006698403
173,1344073.786068664,86784874.4219731,477.6855240243956,0.2892829147399103
174,1336970.9099715198,85915245.55125168,476.23910945069605,0.2863841518375056
175,1329907.551645738,85047997.03236972,474.80718869150854,0.2834933234412324
176,1322883.5030820142,84183102.3739104,473.38972207430237,0.28061034124636797
177,1315898.5574332683,83320535.14864603,471.9866703680705,0.27773511716215343
178,1308952.5090085575,82460268.99272758,470.5979947822598,0.2748675633090919
179,1302045.1532670185,81602277.60487589,469.2236569657143,0.27200759201625296
180,1295176.2868118482,80746534.74557455,467.86361900563304,0.2691551158185818
181,1288345.7073843144,79893014.23626441,466.51784342654014,0.2663100474542147
182,1281553.2138578033,79041689.95853974,465.18629318926907,0.26347229986179915
183,1274798.606231898,78192535.85334599,463.86893168996005,0.26064178617781997
184,1268081.6856264928,77345525.92017902,462.5657227590709,0.2578184197339301
185,1261402.2542759385,76500634.216286,461.2766306604013,0.2550021140542867
186,1254760.115523221,75657834.85586774,460.00162009012985,0.2521927828528925
187,1248155.0738141744,74817102.00928256,458.7406561758654,0.24939034003094188
188,1241586.9346917246,73978409.90225159,457.49370447571073,0.24659469967417194
189,1235055.5047901664,73141732.81506555,456.26073097733985,0.2438057760502185
190,1228560.5918294727,72307045.08179292,455.0417020970888,0.2410234836059764
191,1222102.0046096363,71474321.08948952,453.8365846790589,0.23824773696496507
192,1215679.5530050425,70643535.27740946,452.64534599423405,0.2354784509246982
193,1209293.0479588748,69814662.13621746,451.46795373961055,0.2327155404540582
194,1202942.3014775515,68987676.20720239,450.30437603734026,0.22995892069067464
195,1196627.126625193,68162552.08149226,449.1545814338869,0.22720850693830755
196,1190347.3375181232,67339264.39927037,448.0185388991954,0.22446421466423458
197,1184102.7493193978,66517787.848992735,446.8962178258742,0.22172595949664245
198,1177893.1782333679,65698097.16660677,445.787588028391,0.21899365722202258
199,1171718.4415002707,64880167.134771116,444.6926197422809,0.21626722378257038
200,1165578.357390854,64063972.5820767,443.611283623368,0.213546575273589
201,1159472.7452010289,63249488.3822689,442.5435507470001,0.21083162794089633
202,1153401.4252465537,62436689.45347086,441.4893926072956,0.20812229817823621
203,1147364.2188577487,61625550.75740793,440.4487811164044,0.20541850252469313
204,1141360.9483742388,60816047.29863313,439.4216886037809,0.20272015766211043
205,1135391.43713973,60008154.1237537,438.40808781547037,0.20002718041251233
206,1129455.5094968097,59201846.3206587,437.4079519134078,0.197339487735529
207,1123552.990781783,58397099.017747596,436.4212544747302,0.19465699672582532
208,1117683.707319534,57593887.38315983,435.44796949110105,0.19197962461053278
209,1111847.4864184177,56792186.624005355,434.4880713680484,0.1893072887466845
210,1106044.1563651813,55991971.985596076,433.541534924315,0.1866399066186536
211,1100273.5464199146,55193218.750678256,432.6083353912217,0.1839773958355942
212,1094535.4868110274,54395902.238665774,431.6884484120437,0.18131967412888592
213,1088829.8087302595,53599997.80487425,430.7818500413993,0.17866665934958084
214,1083156.3443277143,52805480.83975601,429.8885167446514,0.17601826946585336
215,1077514.926706924,52012326.7681359,429.0084253973221,0.173374422560453
216,1071905.3899199432,51220511.04844781,428.1415532845199,0.17073503682815935
217,1066327.5689624683,50430009.171972066,427.2878781003791,0.16810003057324022
218,1060781.2997689864,49640796.66207349,426.4473779475129,0.16546932220691166
219,1055266.419207953,48852849.07344023,425.62003133647835,0.16284283024480078
220,1049782.7650769942,48066141.99132325,424.80581718525434,0.16022047330441083
221,1044330.17609814,47280651.03077651,424.0047148187323,0.15760217010258837
222,1038908.4919130821,46496351.83589781,423.21670396821935,0.15498783945299272
223,1033517.553078461,45713220.07907023,422.44176477095436,0.15237740026356744
224,1028157.2010611793,44931231.46020421,421.6798777696365,0.14977077153401402
